Source,Target,Type,id,label,timeset,weight,sourcename,targetname,edgebetweenness
126,318,Undirected,477,Potassium-transporting ATPase alpha chain 1***,,1.0,Pantoprazole,Lansoprazole,6.714113065664026E-6
126,797,Undirected,478,Potassium-transporting ATPase alpha chain 1***,,1.0,Pantoprazole,Rabeprazole,6.714113065664026E-6
126,1126,Undirected,479,Potassium-transporting ATPase alpha chain 1***,,1.0,Pantoprazole,Dexlansoprazole,6.714113065664026E-6
318,797,Undirected,4977,Potassium-transporting ATPase alpha chain 1***,,1.0,Lansoprazole,Rabeprazole,6.714113065664026E-6
318,1126,Undirected,4978,Potassium-transporting ATPase alpha chain 1***,,1.0,Lansoprazole,Dexlansoprazole,6.714113065664026E-6
797,1126,Undirected,12035,Potassium-transporting ATPase alpha chain 1***,,1.0,Rabeprazole,Dexlansoprazole,6.714113065664026E-6
155,414,Undirected,1294,Cytochrome P450 51***,,1.0,Terconazole,Voriconazole,6.714113065664026E-6
155,905,Undirected,1295,Cytochrome P450 51***,,1.0,Terconazole,Posaconazole,6.714113065664026E-6
155,1063,Undirected,1296,Cytochrome P450 51***,,1.0,Terconazole,Bifonazole,6.714113065664026E-6
414,905,Undirected,7184,Cytochrome P450 51***,,1.0,Voriconazole,Posaconazole,6.714113065664026E-6
414,1063,Undirected,7185,Cytochrome P450 51***,,1.0,Voriconazole,Bifonazole,6.714113065664026E-6
905,1063,Undirected,13080,Cytochrome P450 51***,,1.0,Posaconazole,Bifonazole,6.714113065664026E-6
199,880,Undirected,2103,Tubulin beta-1 chain***,,1.0,Vindesine,Paclitaxel,1.3428226131328051E-5
880,1605,Undirected,12846,Apoptosis regulator Bcl-2***,,1.0,Paclitaxel,Venetoclax,1.3428226131328051E-5
210,349,Undirected,2280,Catechol O-methyltransferase***,,1.0,Tolcapone,Entacapone,6.714113065664026E-6
210,1623,Undirected,2281,Catechol O-methyltransferase***,,1.0,Tolcapone,Opicapone,6.714113065664026E-6
349,1623,Undirected,5800,Catechol O-methyltransferase***,,1.0,Entacapone,Opicapone,6.714113065664026E-6
212,619,Undirected,2291,Atrial natriuretic peptide receptor 1***,,1.0,Nitroprusside,Isosorbide dinitrate,6.714113065664026E-6
212,1023,Undirected,2292,Atrial natriuretic peptide receptor 1***,,1.0,Nitroprusside,Amyl Nitrite,6.714113065664026E-6
212,1024,Undirected,2293,Atrial natriuretic peptide receptor 1***,,1.0,Nitroprusside,Erythrityl tetranitrate,6.714113065664026E-6
619,1023,Undirected,10432,Atrial natriuretic peptide receptor 1***,,1.0,Isosorbide dinitrate,Amyl Nitrite,6.714113065664026E-6
619,1024,Undirected,10433,Atrial natriuretic peptide receptor 1***,,1.0,Isosorbide dinitrate,Erythrityl tetranitrate,6.714113065664026E-6
1023,1024,Undirected,13581,Atrial natriuretic peptide receptor 1***,,1.0,Amyl Nitrite,Erythrityl tetranitrate,6.714113065664026E-6
240,697,Undirected,3099,Cytochrome P450 19A1***,,1.0,Aminoglutethimide,Exemestane,6.714113065664026E-6
240,710,Undirected,3100,Cytochrome P450 19A1***,,1.0,Aminoglutethimide,Letrozole,6.714113065664026E-6
240,869,Undirected,3101,Cytochrome P450 19A1***,,1.0,Aminoglutethimide,Anastrozole,6.714113065664026E-6
697,710,Undirected,11356,Cytochrome P450 19A1***,,1.0,Exemestane,Letrozole,6.714113065664026E-6
697,869,Undirected,11357,Cytochrome P450 19A1***,,1.0,Exemestane,Anastrozole,6.714113065664026E-6
710,869,Undirected,11416,Cytochrome P450 19A1***,,1.0,Letrozole,Anastrozole,6.714113065664026E-6
242,471,Undirected,3108,Dihydropteroate synthetase***,,1.0,Sulfadiazine,Sulfametopyrazine,6.714113065664026E-6
242,809,Undirected,3109,Dihydropteroate synthetase***,,1.0,Sulfadiazine,Sulfoxone,6.714113065664026E-6
242,1145,Undirected,3110,Dihydropteroate synthetase***,,1.0,Sulfadiazine,Sulfathiazole,6.714113065664026E-6
471,809,Undirected,8038,Dihydropteroate synthetase***,,1.0,Sulfametopyrazine,Sulfoxone,6.714113065664026E-6
471,1145,Undirected,8039,Dihydropteroate synthetase***,,1.0,Sulfametopyrazine,Sulfathiazole,6.714113065664026E-6
809,1145,Undirected,12129,Dihydropteroate synthetase***,,1.0,Sulfoxone,Sulfathiazole,6.714113065664026E-6
244,380,Undirected,3111,Tubulin beta chain***,,1.0,Vinorelbine,Vincristine,6.714113065664026E-6
244,1631,Undirected,3112,Tubulin beta chain***,,1.0,Vinorelbine,Vinflunine,6.714113065664026E-6
380,1631,Undirected,6372,Tubulin beta chain***,,1.0,Vincristine,Vinflunine,6.714113065664026E-6
245,366,Undirected,3113,13-beta-glucan synthase component FKS1***,,1.0,Anidulafungin,Caspofungin,6.714113065664026E-6
245,806,Undirected,3114,13-beta-glucan synthase component FKS1***,,1.0,Anidulafungin,Micafungin,6.714113065664026E-6
366,806,Undirected,6123,13-beta-glucan synthase component FKS1***,,1.0,Caspofungin,Micafungin,6.714113065664026E-6
392,1180,Undirected,6742,Endothelin-1 receptor***Endothelin B receptor***,,2.0,Bosentan,Sitaxentan,6.714113065664026E-6
392,1196,Undirected,6743,Endothelin-1 receptor***Endothelin B receptor***,,2.0,Bosentan,Ambrisentan,6.714113065664026E-6
392,1358,Undirected,6744,Endothelin-1 receptor***Endothelin B receptor***,,2.0,Bosentan,Macitentan,6.714113065664026E-6
1180,1196,Undirected,14164,Endothelin-1 receptor***Endothelin B receptor***,,2.0,Sitaxentan,Ambrisentan,6.714113065664026E-6
1180,1358,Undirected,14165,Endothelin-1 receptor***Endothelin B receptor***,,2.0,Sitaxentan,Macitentan,6.714113065664026E-6
1196,1358,Undirected,14187,Endothelin-1 receptor***Endothelin B receptor***,,2.0,Ambrisentan,Macitentan,6.714113065664026E-6
440,610,Undirected,7496,Vasopressin V2 receptor***,,1.0,Demeclocycline,Conivaptan,6.714113065664026E-6
440,1169,Undirected,7497,Vasopressin V2 receptor***,,1.0,Demeclocycline,Tolvaptan,6.714113065664026E-6
440,1405,Undirected,7498,Vasopressin V2 receptor***,,1.0,Demeclocycline,Atosiban,6.714113065664026E-6
610,1169,Undirected,10330,Vasopressin V1a receptor***Vasopressin V2 receptor***,,2.0,Conivaptan,Tolvaptan,6.714113065664026E-6
610,1405,Undirected,10331,Vasopressin V1a receptor***Vasopressin V2 receptor***,,2.0,Conivaptan,Atosiban,6.714113065664026E-6
1169,1405,Undirected,14124,Vasopressin V1a receptor***Vasopressin V2 receptor***,,2.0,Tolvaptan,Atosiban,6.714113065664026E-6
541,727,Undirected,9307,DNA topoisomerase I mitochondrial***DNA topoisomerase 1***,,2.0,Irinotecan,Topotecan,6.714113065664026E-6
541,1131,Undirected,9308,DNA topoisomerase 1***,,1.0,Irinotecan,Sodium stibogluconate,6.714113065664026E-6
727,1131,Undirected,11497,DNA topoisomerase 1***,,1.0,Topotecan,Sodium stibogluconate,6.714113065664026E-6
551,864,Undirected,9482,50S ribosomal protein L10***,,1.0,Roxithromycin,Clarithromycin,6.714113065664026E-6
551,1034,Undirected,9483,50S ribosomal protein L10***,,1.0,Roxithromycin,Lincomycin,6.714113065664026E-6
864,1034,Undirected,12723,50S ribosomal protein L10***,,1.0,Clarithromycin,Lincomycin,6.714113065664026E-6
719,1357,Undirected,11460,Guanylate cyclase soluble subunit alpha-2***,,1.0,Isosorbide mononitrate,Riociguat,6.714113065664026E-6
719,1508,Undirected,11461,Guanylate cyclase soluble subunit alpha-2***,,1.0,Isosorbide mononitrate,Molsidomine,6.714113065664026E-6
719,1732,Undirected,11462,Guanylate cyclase soluble subunit alpha-2***,,1.0,Isosorbide mononitrate,Plecanatide,6.714113065664026E-6
1357,1508,Undirected,14482,Guanylate cyclase soluble subunit alpha-2***,,1.0,Riociguat,Molsidomine,6.714113065664026E-6
1357,1732,Undirected,14483,Guanylate cyclase soluble subunit alpha-2***,,1.0,Riociguat,Plecanatide,6.714113065664026E-6
1508,1732,Undirected,14603,Guanylate cyclase soluble subunit alpha-2***,,1.0,Molsidomine,Plecanatide,6.714113065664026E-6
1189,1349,Undirected,14181,Sodium/glucose cotransporter 2***,,1.0,Dapagliflozin,Canagliflozin,6.714113065664026E-6
1189,1393,Undirected,14182,Sodium/glucose cotransporter 2***,,1.0,Dapagliflozin,Empagliflozin,6.714113065664026E-6
1189,1654,Undirected,14183,Sodium/glucose cotransporter 2***,,1.0,Dapagliflozin,Ertugliflozin,6.714113065664026E-6
1349,1393,Undirected,14462,Sodium/glucose cotransporter 2***,,1.0,Canagliflozin,Empagliflozin,6.714113065664026E-6
1349,1654,Undirected,14463,Sodium/glucose cotransporter 2***,,1.0,Canagliflozin,Ertugliflozin,6.714113065664026E-6
1393,1654,Undirected,14505,Sodium/glucose cotransporter 2***,,1.0,Empagliflozin,Ertugliflozin,6.714113065664026E-6
1416,1647,Undirected,14529,Poly [ADP-ribose] polymerase 2***Poly [ADP-ribose] polymerase 1***,,2.0,Olaparib,Talazoparib,6.714113065664026E-6
1416,1650,Undirected,14530,Poly [ADP-ribose] polymerase 2***Poly [ADP-ribose] polymerase 1***,,2.0,Olaparib,Niraparib,6.714113065664026E-6
1416,1690,Undirected,14531,Poly [ADP-ribose] polymerase 2***Poly [ADP-ribose] polymerase 3***Poly [ADP-ribose] polymerase 1***,,3.0,Olaparib,Rucaparib,6.714113065664026E-6
1647,1650,Undirected,14659,Poly [ADP-ribose] polymerase 2***Poly [ADP-ribose] polymerase 1***,,2.0,Talazoparib,Niraparib,6.714113065664026E-6
1647,1690,Undirected,14660,Poly [ADP-ribose] polymerase 2***Poly [ADP-ribose] polymerase 1***,,2.0,Talazoparib,Rucaparib,6.714113065664026E-6
1650,1690,Undirected,14661,Poly [ADP-ribose] polymerase 2***Poly [ADP-ribose] polymerase 1***,,2.0,Niraparib,Rucaparib,6.714113065664026E-6
1182,1648,Undirected,14167,Interleukin-6 receptor subunit alpha***,,1.0,Tocilizumab,Sarilumab,2.0142339196992076E-5
14,24,Undirected,46,Plasminogen***,,1.0,Reteplase,Anistreplase,6.714113065664026E-6
14,67,Undirected,47,Plasminogen***,,1.0,Reteplase,Streptokinase,6.714113065664026E-6
24,67,Undirected,58,Plasminogen***,,1.0,Anistreplase,Streptokinase,6.714113065664026E-6
1276,1295,Undirected,14348,Gonadotropin-releasing hormone receptor***,,1.0,Histrelin,Triptorelin,6.714113065664026E-6
933,934,Undirected,13203,Insulin receptor***,,1.0,Insulin detemir,Insulin glulisine,6.714113065664026E-6
636,754,Undirected,10646,Vitamin D3 receptor***,,1.0,Paricalcitol,Dihydrotachysterol,6.714113065664026E-6
636,984,Undirected,10647,Vitamin D3 receptor***,,1.0,Paricalcitol,Alfacalcidol,6.714113065664026E-6
754,984,Undirected,11735,Vitamin D3 receptor***,,1.0,Dihydrotachysterol,Alfacalcidol,6.714113065664026E-6
1593,1726,Undirected,14644,Coagulation factor VIII***Coagulation factor V***,,2.0,Protein C,Anti-inhibitor coagulant complex,4.028467839398415E-5
1166,1203,Undirected,14120,P2Y purinoceptor 12***,,1.0,Prasugrel,Cangrelor,6.714113065664026E-6
1166,1303,Undirected,14121,P2Y purinoceptor 12***,,1.0,Prasugrel,Ticagrelor,6.714113065664026E-6
1203,1303,Undirected,14198,P2Y purinoceptor 12***,,1.0,Cangrelor,Ticagrelor,6.714113065664026E-6
484,664,Undirected,8184,Vitamin K epoxide reductase complex subunit 1***,,1.0,Warfarin,Phenprocoumon,6.714113065664026E-6
484,977,Undirected,8185,Vitamin K epoxide reductase complex subunit 1***,,1.0,Warfarin,Acenocoumarol,6.714113065664026E-6
664,977,Undirected,10993,Vitamin K epoxide reductase complex subunit 1***,,1.0,Phenprocoumon,Acenocoumarol,6.714113065664026E-6
299,371,Undirected,4587,DNA polymerase catalytic subunit***,,1.0,Famciclovir,Foscarnet,1.3428226131328051E-5
299,409,Undirected,4588,DNA polymerase catalytic subunit***,,1.0,Famciclovir,Valaciclovir,6.714113065664026E-6
299,708,Undirected,4589,DNA polymerase catalytic subunit***,,1.0,Famciclovir,Ganciclovir,6.714113065664026E-6
409,708,Undirected,7107,DNA polymerase catalytic subunit***,,1.0,Valaciclovir,Ganciclovir,6.714113065664026E-6
1617,1819,Undirected,14652,Nonstructural protein 5A***,,1.0,Velpatasvir,Pibrentasvir,6.714113065664026E-6
1671,1672,Undirected,14674,Cyclin-dependent kinase 4***,,1.0,Abemaciclib,Fostamatinib,0.01485833221431449
888,1595,Undirected,12981,Prostacyclin receptor***,,1.0,Epoprostenol,Selexipag,6.714113065664026E-6
596,914,Undirected,10110,Neuronal acetylcholine receptor subunit alpha-3***,,1.0,Levamisole,Varenicline,0.014035853363770646
503,1648,Undirected,8400,High affinity immunoglobulin gamma Fc receptor I***,,1.0,Porfimer sodium,Sarilumab,2.0142339196992076E-5
8,12,Undirected,29,Plasminogen***,,1.0,Alteplase,Urokinase,6.714113065664026E-6
8,14,Undirected,30,Plasminogen***,,1.0,Alteplase,Reteplase,6.714113065664026E-6
8,24,Undirected,31,Plasminogen***,,1.0,Alteplase,Anistreplase,6.714113065664026E-6
8,67,Undirected,32,Plasminogen***,,1.0,Alteplase,Streptokinase,6.714113065664026E-6
12,14,Undirected,38,Plasminogen***,,1.0,Urokinase,Reteplase,6.714113065664026E-6
12,24,Undirected,39,Plasminogen***,,1.0,Urokinase,Anistreplase,6.714113065664026E-6
12,67,Undirected,40,Plasminogen***,,1.0,Urokinase,Streptokinase,6.714113065664026E-6
13,36,Undirected,41,Lutropin-choriogonadotropic hormone receptor***,,1.0,Goserelin,Lutropin alfa,3.3570565328320126E-5
13,457,Undirected,42,Gonadotropin-releasing hormone receptor***,,1.0,Goserelin,Gonadorelin,1.3428226131328051E-5
13,473,Undirected,43,Gonadotropin-releasing hormone receptor***,,1.0,Goserelin,Nafarelin,1.3428226131328051E-5
13,1276,Undirected,44,Gonadotropin-releasing hormone receptor***,,1.0,Goserelin,Histrelin,1.3428226131328051E-5
13,1295,Undirected,45,Gonadotropin-releasing hormone receptor***,,1.0,Goserelin,Triptorelin,1.3428226131328051E-5
457,473,Undirected,7777,Gonadotropin-releasing hormone receptor***Putative gonadotropin-releasing hormone II receptor***,,2.0,Gonadorelin,Nafarelin,6.714113065664026E-6
457,1276,Undirected,7778,Gonadotropin-releasing hormone receptor***,,1.0,Gonadorelin,Histrelin,6.714113065664026E-6
457,1295,Undirected,7779,Gonadotropin-releasing hormone receptor***,,1.0,Gonadorelin,Triptorelin,6.714113065664026E-6
473,1276,Undirected,8047,Gonadotropin-releasing hormone receptor***,,1.0,Nafarelin,Histrelin,6.714113065664026E-6
473,1295,Undirected,8048,Gonadotropin-releasing hormone receptor***,,1.0,Nafarelin,Triptorelin,6.714113065664026E-6
25,37,Undirected,59,Insulin receptor***,,1.0,Insulin human,Insulin lispro,6.714113065664026E-6
25,38,Undirected,60,Insulin receptor***,,1.0,Insulin human,Insulin glargine,6.714113065664026E-6
25,932,Undirected,61,Insulin receptor***,,1.0,Insulin human,Insulin aspart,6.714113065664026E-6
25,933,Undirected,62,Insulin receptor***,,1.0,Insulin human,Insulin detemir,6.714113065664026E-6
25,934,Undirected,63,Insulin receptor***,,1.0,Insulin human,Insulin glulisine,6.714113065664026E-6
37,38,Undirected,71,Insulin receptor***,,1.0,Insulin lispro,Insulin glargine,6.714113065664026E-6
37,932,Undirected,72,Insulin receptor***,,1.0,Insulin lispro,Insulin aspart,6.714113065664026E-6
37,933,Undirected,73,Insulin receptor***,,1.0,Insulin lispro,Insulin detemir,6.714113065664026E-6
37,934,Undirected,74,Insulin receptor***,,1.0,Insulin lispro,Insulin glulisine,6.714113065664026E-6
38,932,Undirected,75,Insulin receptor***,,1.0,Insulin glargine,Insulin aspart,6.714113065664026E-6
38,933,Undirected,76,Insulin receptor***,,1.0,Insulin glargine,Insulin detemir,6.714113065664026E-6
38,934,Undirected,77,Insulin receptor***,,1.0,Insulin glargine,Insulin glulisine,6.714113065664026E-6
932,933,Undirected,13201,Insulin receptor***,,1.0,Insulin aspart,Insulin detemir,6.714113065664026E-6
932,934,Undirected,13202,Insulin receptor***,,1.0,Insulin aspart,Insulin glulisine,6.714113065664026E-6
94,96,Undirected,101,Vitamin D3 receptor***,,1.0,Calcifediol,Ergocalciferol,6.714113065664026E-6
94,636,Undirected,102,Vitamin D3 receptor***,,1.0,Calcifediol,Paricalcitol,6.714113065664026E-6
94,754,Undirected,103,Vitamin D3 receptor***,,1.0,Calcifediol,Dihydrotachysterol,6.714113065664026E-6
94,984,Undirected,104,Vitamin D3 receptor***,,1.0,Calcifediol,Alfacalcidol,6.714113065664026E-6
96,636,Undirected,105,Vitamin D3 receptor***,,1.0,Ergocalciferol,Paricalcitol,6.714113065664026E-6
96,754,Undirected,106,Vitamin D3 receptor***,,1.0,Ergocalciferol,Dihydrotachysterol,6.714113065664026E-6
96,984,Undirected,107,Vitamin D3 receptor***,,1.0,Ergocalciferol,Alfacalcidol,6.714113065664026E-6
98,721,Undirected,108,Osteocalcin***,,1.0,Menadione,Phylloquinone,4.699879145964818E-5
98,1726,Undirected,109,Prothrombin***,,1.0,Menadione,Anti-inhibitor coagulant complex,4.699879145964818E-5
98,1737,Undirected,110,Coagulation factor IX***,,1.0,Menadione,Antihemophilic factor human,4.028467839398415E-5
1737,1823,Undirected,14685,Coagulation factor X***,,1.0,Antihemophilic factor human,Emicizumab,2.0142339196992076E-5
22,1726,Undirected,55,Coagulation factor X***,,1.0,"Antihemophilic factor, human recombinant",Anti-inhibitor coagulant complex,2.349939572982409E-5
22,1737,Undirected,56,Coagulation factor X***,,1.0,"Antihemophilic factor, human recombinant",Antihemophilic factor human,2.0142339196992076E-5
22,1823,Undirected,57,Coagulation factor X***,,1.0,"Antihemophilic factor, human recombinant",Emicizumab,6.714113065664026E-6
1726,1737,Undirected,14681,Coagulation factor X***,,1.0,Anti-inhibitor coagulant complex,Antihemophilic factor human,1.3428226131328051E-5
1726,1823,Undirected,14682,Coagulation factor X***,,1.0,Anti-inhibitor coagulant complex,Emicizumab,2.349939572982409E-5
123,539,Undirected,401,P2Y purinoceptor 12***,,1.0,Ticlopidine,Clopidogrel,6.714113065664026E-6
123,1166,Undirected,402,P2Y purinoceptor 12***,,1.0,Ticlopidine,Prasugrel,6.714113065664026E-6
123,1203,Undirected,403,P2Y purinoceptor 12***,,1.0,Ticlopidine,Cangrelor,6.714113065664026E-6
123,1303,Undirected,404,P2Y purinoceptor 12***,,1.0,Ticlopidine,Ticagrelor,6.714113065664026E-6
539,1166,Undirected,9300,P2Y purinoceptor 12***,,1.0,Clopidogrel,Prasugrel,6.714113065664026E-6
539,1203,Undirected,9301,P2Y purinoceptor 12***,,1.0,Clopidogrel,Cangrelor,6.714113065664026E-6
539,1303,Undirected,9302,P2Y purinoceptor 12***,,1.0,Clopidogrel,Ticagrelor,6.714113065664026E-6
166,353,Undirected,1434,Vitamin K epoxide reductase complex subunit 1***,,1.0,Dicoumarol,Phenindione,6.714113065664026E-6
166,484,Undirected,1435,Vitamin K epoxide reductase complex subunit 1***,,1.0,Dicoumarol,Warfarin,6.714113065664026E-6
166,664,Undirected,1436,Vitamin K epoxide reductase complex subunit 1***,,1.0,Dicoumarol,Phenprocoumon,6.714113065664026E-6
166,977,Undirected,1437,Vitamin K epoxide reductase complex subunit 1***,,1.0,Dicoumarol,Acenocoumarol,6.714113065664026E-6
353,484,Undirected,5883,Vitamin K epoxide reductase complex subunit 1***,,1.0,Phenindione,Warfarin,6.714113065664026E-6
353,664,Undirected,5884,Vitamin K epoxide reductase complex subunit 1***,,1.0,Phenindione,Phenprocoumon,6.714113065664026E-6
353,977,Undirected,5885,Vitamin K epoxide reductase complex subunit 1***,,1.0,Phenindione,Acenocoumarol,6.714113065664026E-6
179,278,Undirected,1723,Hydroxylapatite***Farnesyl pyrophosphate synthase***Geranylgeranyl pyrophosphate synthase***,,3.0,Pamidronic acid,Zoledronic acid,6.714113065664026E-6
179,446,Undirected,1724,Hydroxylapatite***Farnesyl pyrophosphate synthase***,,2.0,Pamidronic acid,Alendronic acid,6.714113065664026E-6
179,506,Undirected,1725,Hydroxylapatite***Farnesyl pyrophosphate synthase***Geranylgeranyl pyrophosphate synthase***,,3.0,Pamidronic acid,Ibandronate,6.714113065664026E-6
179,514,Undirected,1726,Hydroxylapatite***,,1.0,Pamidronic acid,Clodronic acid,6.714113065664026E-6
179,620,Undirected,1727,Hydroxylapatite***Farnesyl pyrophosphate synthase***,,2.0,Pamidronic acid,Risedronic acid,6.714113065664026E-6
179,759,Undirected,1728,Hydroxylapatite***,,1.0,Pamidronic acid,Etidronic acid,6.714113065664026E-6
179,800,Undirected,1729,Hydroxylapatite***,,1.0,Pamidronic acid,Tiludronic acid,6.714113065664026E-6
278,446,Undirected,4101,Hydroxylapatite***Farnesyl pyrophosphate synthase***,,2.0,Zoledronic acid,Alendronic acid,6.714113065664026E-6
278,506,Undirected,4102,Hydroxylapatite***Farnesyl pyrophosphate synthase***Geranylgeranyl pyrophosphate synthase***,,3.0,Zoledronic acid,Ibandronate,6.714113065664026E-6
278,514,Undirected,4103,Hydroxylapatite***,,1.0,Zoledronic acid,Clodronic acid,6.714113065664026E-6
278,620,Undirected,4104,Hydroxylapatite***Farnesyl pyrophosphate synthase***,,2.0,Zoledronic acid,Risedronic acid,6.714113065664026E-6
